feature,corr,abs_corr
MEAN_RR,0.26598069371564986,0.26598069371564986
MEDIAN_RR,0.25009365521937515,0.25009365521937515
HR,-0.24736738559170676,0.24736738559170676
pNN25,0.21970385979614027,0.21970385979614027
TP,0.19803118462057362,0.19803118462057362
RMSSD,0.19740303264650627,0.19740303264650627
SD1,0.19739644915785196,0.19739644915785196
SDSD,0.19739643583255992,0.19739643583255992
LF_HF,0.18621647296266186,0.18621647296266186
VLF,0.18122993454194986,0.18122993454194986
KURT_REL_RR,-0.17930201570466003,0.17930201570466003
KURT,-0.17930201570466003,0.17930201570466003
sampen,0.15251144974514305,0.15251144974514305
SDRR_RMSSD_REL_RR,0.13186503550886744,0.13186503550886744
LF_NU,0.11836832104059672,0.11836832104059672
HF_NU,-0.11836831529298746,0.11836831529298746
pNN50,0.11653325621183769,0.11653325621183769
LF,0.11189327409181597,0.11189327409181597
HF_LF,-0.11029793202648461,0.11029793202648461
SDRR,0.10411162500904789,0.10411162500904789
SD2,0.10384403154345803,0.10384403154345803
HF_PCT,-0.10307984014626854,0.10307984014626854
SKEW,-0.08113814645046775,0.08113814645046775
SKEW_REL_RR,-0.08113814645046775,0.08113814645046775
HF,-0.07090593019784937,0.07090593019784937
VLF_PCT,0.05046248178649493,0.05046248178649493
SDRR_REL_RR,0.05033260342139176,0.05033260342139176
MEDIAN_REL_RR,0.0495003282280738,0.0495003282280738
LF_PCT,-0.040803917788456164,0.040803917788456164
higuci,-0.039517938369332484,0.039517938369332484
MEAN_REL_RR,0.0299267137300202,0.0299267137300202
SDSD_REL_RR,-0.026252361166807653,0.026252361166807653
RMSSD_REL_RR,-0.026252043362527185,0.026252043362527185
SDRR_RMSSD,0.015070158684917892,0.015070158684917892
